First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage
Shamil,Abdurakhimov,75,235,76,20,5,0,25,0.8
Daichi,Abe,71,170,71,6,2,0,8,0.75
Papy,Abedi,71,185,74,9,3,0,12,0.75
Ricardo,Abreu,71,185,73,5,3,0,8,0.625
Klidson,Abreu,72,205,74,15,3,0,18,0.833333333
Juan,Adams,77,265,80,5,2,0,7,0.714285714
Anthony,Adams,72,185,77,7,1,0,8,0.875
Israel,Adesanya,76,185,80,18,0,0,18,1
Jessica,Aguilar,63,115,63,20,8,0,28,0.714285714
Kevin,Aguilar,67,145,73,17,2,0,19,0.894736842
Omari,Akhmedov,72,185,73,19,4,1,24,0.8125
Yoshihiro,Akiyama,70,170,73,14,6,0,20,0.7
Rostem,Akman,70,170,72,6,2,0,8,0.75
Mostapha,Al-Turk,74,245,77,6,6,0,12,0.5
Herdem,Alacabek,74,205,75,5,1,0,6,0.833333333
Heili,Alateng,65,135,66,13,7,1,21,0.642857143
John,Albert,68,135,68,7,5,0,12,0.583333333
Junior,Albini,75,264,74,14,6,0,20,0.7
Alexandra,Albu,62,115,63,7,1,0,8,0.875
Iuri,Alcantara,69,135,71,35,10,0,45,0.777777778
Ildemar,Alcantara,74,185,78,21,8,0,29,0.724137931
Irene,Aldana,69,135,68,11,5,0,16,0.6875
Hector,Aldana,71,170,72,4,4,0,8,0.5
Jose,Aldo,67,145,70,28,5,0,33,0.848484848
JJ,Aldrich,65,125,67,8,3,0,11,0.727272727
Jim,Alers,69,145,71,13,3,0,16,0.8125
John,Alessio,70,155,72,34,16,0,50,0.68
Houston,Alexander,72,205,72,13,8,1,22,0.613636364
Marcio,Alexandre Junior,72,185,75,17,4,0,21,0.80952381
Bill,Algeo,72,145,73,12,3,0,15,0.8
Sultan,Aliev,71,170,74,15,3,0,18,0.833333333
John,Allan,75,205,75,13,5,0,18,0.722222222
Arnold,Allen,68,145,70,15,1,0,16,0.9375
Brendan,Allen,74,185,75,13,3,0,16,0.8125
Benny,Alloway,71,170,75,13,6,0,19,0.684210526
Ricardo,Almeida,72,170,74,13,5,0,18,0.722222222
Thomas,Almeida,67,135,70,22,3,0,25,0.88
Ericka,Almeida,66,115,68,7,2,0,9,0.777777778
Eddie,Alvarez,69,155,69,29,6,0,35,0.828571429
Jaime,Alvarez,68,125,69,6,1,0,7,0.857142857
Joel,Alvarez,75,155,77,16,2,0,18,0.888888889
Thiago,Alves,69,170,70,28,14,0,42,0.666666667
Warlley,Alves,71,170,72,14,3,0,17,0.823529412
Sam,Alvey,74,205,75,33,13,0,46,0.717391304
Adlan,Amagov,74,170,76,13,2,1,16,0.84375
Alen,Amedovski,70,185,74,8,2,0,10,0.8
Makwan,Amirkhani,70,145,72,15,3,0,18,0.833333333
Eryk,Anders,73,205,75,13,4,0,17,0.764705882
Corey,Anderson,75,205,79,13,4,0,17,0.764705882
Megan,Anderson,72,145,72,10,4,0,14,0.714285714
Jessica,Andrade,61,115,62,20,7,0,27,0.740740741
Viscardi,Andrade,71,170,75,19,7,0,26,0.730769231
Dylan,Andrews,73,185,73,18,8,0,26,0.692307692
Magomed,Ankalaev,75,205,75,11,1,0,12,0.916666667
Nina,Ansaroff,65,115,64,10,6,0,16,0.625
Gadzhimurad,Antigulov,71,205,70,20,6,0,26,0.769230769
Adam,Antolin,65,125,63,12,3,0,15,0.8
Zu,Anyanwu,73,251,77,14,5,0,19,0.736842105
Shinsho,Anzai,67,170,70,10,3,0,13,0.769230769
Josh,Appelt,70,255,73,15,6,0,21,0.714285714
Felipe,Arantes,68,135,73,18,10,1,29,0.637931034
Igor,Araujo,73,170,77,25,8,0,33,0.757575758
Viviane,Araujo,64,125,68,8,1,0,9,0.888888889
Julio,Arce,67,145,70,16,3,0,19,0.842105263
Andrei,Arlovski,75,240,77,28,18,0,46,0.608695652
Austin,Arnett,72,145,72,16,6,0,22,0.727272727
Akbarh,Arreola,70,155,71,23,10,1,34,0.691176471
Matt,Arroyo,70,170,72,3,3,0,6,0.5
Antonio,Arroyo,75,185,73,8,2,0,10,0.8
Cesar,Arzamendia,71,155,71,7,4,0,11,0.636363636
Teddy,Ash,73,185,73,14,4,0,18,0.777777778
Askar,Askarov,66,125,67,10,0,1,11,0.954545455
Cyril,Asker,72,247,74,9,4,0,13,0.692307692
Scott,Askham,75,185,75,14,4,0,18,0.777777778
Ben,Askren,71,170,73,19,1,0,20,0.95
Junior,Assuncao,69,145,72,13,4,0,17,0.764705882
Raphael,Assuncao,65,135,66,27,7,0,34,0.794117647
Rich,Attonito,70,170,72,10,5,0,15,0.666666667
Olivier,Aubin-Mercier,69,155,70,12,5,0,17,0.705882353
Marcus,Aurelio,70,155,74,21,10,0,31,0.677419355
Blas,Avena,72,170,74,7,6,0,13,0.538461538
Chris,Avila,70,145,72,5,4,0,9,0.555555556
Julia,Avila,67,135,68,7,1,0,8,0.875
Jessin,Ayari,72,155,73,16,5,0,21,0.761904762
Abu,Azaitar,69,185,76,14,1,1,16,0.90625
Ottman,Azaitar,68,155,71,12,0,0,12,1
Hunter,Azure,68,135,69,8,0,0,8,1
Niklas,Backstrom,73,145,74,8,2,0,10,0.8
Seth,Baczynski,75,170,74,18,11,0,29,0.620689655
Ryan,Bader,74,205,74,23,5,0,28,0.821428571
Miguel,Baeza,74,170,74,8,0,0,8,1
Ali,Bagautinov,64,125,65,14,5,0,19,0.736842105
Mehdi,Baghdad,73,155,75,11,4,0,15,0.733333333
Siyar,Bahadurzada,71,170,73,24,8,1,33,0.742424242
Shamar,Bailey,69,155,75,12,5,0,17,0.705882353
Oluwale,Bamgbose,71,185,78,6,4,0,10,0.6
Marcin,Bandel,70,155,70,13,4,0,17,0.764705882
Humberto,Bandenay,71,145,71,14,7,0,21,0.666666667
Tae Hyun,Bang,69,155,71,18,10,0,28,0.642857143
Antonio,Banuelos,65,135,63,19,7,1,27,0.722222222
Renan,Barao,66,135,70,36,8,0,44,0.818181818
Maycee,Barber,65,125,65,8,0,0,8,1
Bryan,Barberena,72,170,72,14,7,0,21,0.666666667
Edson,Barboza,71,155,75,20,8,0,28,0.714285714
Raoni,Barcelos,67,135,67,14,1,0,15,0.933333333
Luke,Barnatt,78,185,77,8,3,0,11,0.727272727
Josh,Barnett,75,250,78,35,8,0,43,0.813953488
Phil,Baroni,69,170,72,14,15,0,29,0.482758621
Peter,Barrett,70,155,73,8,2,0,10,0.8
Marc-Andre,Barriault,73,185,74,11,3,0,14,0.785714286
Francimar,Barroso,73,205,75,19,7,0,26,0.730769231
Pat,Barry,71,235,74,8,7,0,15,0.533333333
Enrique,Barzola,67,145,70,17,4,1,22,0.795454545
Shayna,Baszler,67,135,67,15,10,0,25,0.6
Danaa,Batgerel,67,135,70,6,2,0,8,0.75
Mario,Bautista,69,135,69,7,1,0,8,0.875
Chris,Beal,67,125,69,10,3,0,13,0.769230769
Ariel,Beck,66,125,66,4,5,0,9,0.444444444
Johnny,Bedford,70,135,71,19,13,1,33,0.590909091
Chase,Beebe,67,135,67,19,8,1,28,0.696428571
Mirsad,Bektic,68,145,70,13,2,0,15,0.866666667
Diana,Belbita,67,125,68,13,5,0,18,0.722222222
Alan,Belcher,74,185,73,17,7,0,24,0.708333333
Vitor,Belfort,72,185,74,26,14,0,40,0.65
Danilo,Belluardo,72,155,74,12,5,0,17,0.705882353
Joey,Beltran,73,185,75,15,9,0,24,0.625
Marco,Beltran,68,125,69,8,7,0,15,0.533333333
Joseph,Benavidez,64,125,65,28,5,0,33,0.848484848
Gabriel,Benitez,68,145,71,21,8,0,29,0.724137931
DeAnna,Bennett,64,125,68,8,3,1,12,0.708333333
Lance,Benoist,71,170,73,7,2,0,9,0.777777778
Ryan,Benoit,65,125,68,10,5,0,15,0.666666667
Kenneth,Bergh,74,205,76,6,0,0,6,1
Keith,Berish,72,205,73,5,1,0,6,0.833333333
Dennis,Bermudez,66,155,66,18,9,0,27,0.666666667
Manny,Bermudez,70,145,71,14,2,0,16,0.875
Talita,Bernardo,64,135,68,6,4,0,10,0.6
Matt,Bessette,70,145,70,22,9,0,31,0.709677419
Arjan,Bhullar,73,245,75,9,1,0,10,0.9
Magomed,Bibulatov,65,125,65,14,2,0,16,0.875
David,Bielkheden,70,155,71,16,9,0,25,0.64
Anthony,Birchak,68,135,69,13,3,0,16,0.8125
Chris,Birchler,75,205,79,7,3,0,10,0.7
Michael,Bisping,73,185,75,31,9,0,40,0.775
Jan,Blachowicz,74,205,78,24,8,0,32,0.75
Brad,Blackburn,70,170,73,18,13,1,32,0.578125
Maximo,Blanco,68,145,71,12,8,1,21,0.595238095
Curtis,Blaydes,76,265,80,12,2,0,14,0.857142857
Byron,Bloodworth,68,135,69,6,3,0,9,0.666666667
Mark,Bocek,68,155,75,12,5,0,17,0.705882353
Kyle,Bochniak,67,145,70,8,5,0,13,0.615384615
James,Bochnovic,76,205,81,8,3,0,11,0.727272727
Tim,Boetsch,72,185,74,21,13,0,34,0.617647059
Galore,Bofando,71,170,72,5,3,0,8,0.625
Stephan,Bonnar,76,205,78,17,8,0,25,0.68
Rogerio,Bontorin,65,125,67,16,1,0,17,0.941176471
Ray,Borg,64,135,63,12,4,0,16,0.75
Tanner,Boser,74,255,75,17,5,1,23,0.760869565
Steve,Bosse,71,205,72,12,2,0,14,0.857142857
Poliana,Botelho,68,115,67,8,2,0,10,0.8
Brian,Bowles,67,135,70,10,3,0,13,0.769230769
Roger,Bowling,69,155,68,11,5,0,16,0.6875
Kyle,Bradley,69,155,71,15,8,0,23,0.652173913
Sean,Brady,70,170,72,11,0,0,11,1
Ramiz,Brahimaj,70,170,73,8,2,0,10,0.8
David,Branch,73,185,78,22,6,0,28,0.785714286
Diego,Brandao,67,145,68,24,11,0,35,0.685714286
Martin,Bravo,68,145,71,12,3,0,15,0.8
Tom,Breese,75,185,73,11,1,0,12,0.916666667
Charlie,Brenneman,70,155,72,19,8,0,27,0.703703704
Marcos,Brigagao,75,205,76,11,1,0,12,0.916666667
Jason,Brilz,71,205,71,18,5,1,24,0.770833333
Marcus,Brimage,64,135,71,7,5,0,12,0.583333333
Henry,Briones,68,135,69,19,8,1,28,0.696428571
Antwain,Britt,73,205,77,11,5,0,16,0.6875
Jonathan,Brookins,72,145,73,14,6,0,20,0.7
Will,Brooks,70,155,72,18,4,0,22,0.818181818
CM,Punk,73,170,73,0,2,0,2,0
Jarred,Brooks,63,125,62,14,2,0,16,0.875
Rob,Broughton,74,265,74,15,7,1,23,0.673913043
Matt,Brown,72,170,75,23,16,0,39,0.58974359
Mike,Brown,66,145,70,26,9,0,35,0.742857143
Randy,Brown,75,170,78,11,3,0,14,0.785714286
Damien,Brown,70,155,68,17,12,0,29,0.586206897
TJ,Brown,69,145,72,13,6,0,19,0.684210526
Humberto,Brown,70,145,71,4,5,0,9,0.444444444
Travis,Browne,78,255,79,18,7,1,26,0.711538462
Fernando,Bruno,66,145,70,16,4,0,20,0.8
Derek,Brunson,73,185,77,20,7,0,27,0.740740741
Dennis,Bryant,72,205,72,5,1,0,6,0.833333333
Justin,Buchholz,72,155,73,12,6,0,18,0.666666667
Julia,Budd,67,145,67,3,1,0,4,0.75
Mike,Budnik,69,145,68,11,4,0,15,0.733333333
Paul,Buentello,74,245,77,29,14,0,43,0.674418605
Wuliji,Buren,69,135,69,10,7,0,17,0.588235294
Shane,Burgos,71,145,75,12,1,0,13,0.923076923
Joshua,Burkman,70,170,72,29,17,0,46,0.630434783
Mads,Burnell,68,145,69,9,3,0,12,0.75
Kevin,Burns,70,170,74,9,5,0,14,0.642857143
Gilbert,Burns,70,155,71,17,3,0,20,0.85
Herbert,Burns,69,145,74,8,2,0,10,0.8
Nah-Shon,Burrell,71,170,73,9,3,0,12,0.75
Martin,Buschkamp,69,145,70,9,0,0,9,1
Bubba,Bush,72,185,73,8,3,0,11,0.727272727
JP,Buys,66,125,66,4,1,0,5,0.8
Charles,Byrd,70,185,73,10,6,0,16,0.625
Yan,Cabral,71,155,73,12,3,0,15,0.8
Alex,Caceres,70,145,73,15,12,0,27,0.555555556
Priscila,Cachoeira,67,125,65,8,3,0,11,0.727272727
Joanne,Calderwood,66,125,65,14,4,0,18,0.777777778
Cynthia,Calvillo,64,115,64,8,1,0,9,0.888888889
Frank,Camacho,70,170,73,22,7,0,29,0.75862069
Fabricio,Camoes,70,155,73,14,9,1,24,0.604166667
Chris,Camozzi,74,185,76,24,13,0,37,0.648648649
Brian,Camozzi,74,170,78,7,5,0,12,0.583333333
Shane,Campbell,72,155,71,12,6,0,18,0.666666667
Will,Campuzano,69,125,70,13,6,0,19,0.684210526
Aleksa,Camur,73,205,75,4,0,0,4,1
Chico,Camus,66,125,66,14,7,0,21,0.666666667
Carlos,Candelario,68,125,67,6,0,0,6,1
Luiz,Cane,74,185,77,12,5,0,17,0.705882353
Guido,Cannetti,66,135,68,8,5,0,13,0.615384615
Jared,Cannonier,71,185,77,13,4,0,17,0.764705882
Steve,Cantwell,74,185,75,7,6,0,13,0.538461538
Phil,Caracappa,68,135,70,8,1,0,9,0.888888889
Bryan,Caraway,68,135,68,21,10,0,31,0.677419355
Chris,Cariaso,63,125,63,17,8,0,25,0.68
Antonio,Carlos Junior,74,185,79,11,4,0,15,0.733333333
Francis,Carmont,75,205,78,23,10,0,33,0.696969697
Liz,Carmouche,66,125,66,13,7,0,20,0.65
Roan,Carneiro,71,170,74,21,11,0,32,0.65625
Renato,Moicano,71,145,72,13,3,1,17,0.794117647
Ariane,Carnelossi,62,115,61,12,2,0,14,0.857142857
Luana,Carolina,66,125,69,6,1,0,7,0.857142857
Cain,Carrizosa,68,155,74,6,2,0,8,0.75
Antonio,Carvalho,69,145,68,15,6,0,21,0.714285714
Shane,Carwin,74,265,80,12,2,0,14,0.857142857
Johnny,Case,70,155,72,22,6,0,28,0.785714286
Kevin,Casey,71,185,77,9,5,1,15,0.633333333
Cortney,Casey,67,115,67,8,7,0,15,0.533333333
John,Castaneda,67,135,70,13,2,0,15,0.866666667
Danny,Castillo,69,155,71,17,10,0,27,0.62962963
Nick,Catone,72,185,72,10,4,0,14,0.714285714
Gesias,Cavalcante,68,155,71,16,5,1,22,0.75
Rafael,Feijao,73,205,73,12,7,0,19,0.631578947
Magnus,Cedenblad,77,185,79,14,5,0,19,0.736842105
Yosdenis,Cedeno,68,155,69,10,5,1,16,0.65625
Henry,Cejudo,64,135,64,15,2,0,17,0.882352941
Adam,Cella,74,170,78,4,2,0,6,0.666666667
Donald,Cerrone,73,155,73,36,13,0,49,0.734693878
Luan,Chagas,72,170,75,15,3,1,19,0.815789474
Alex,Chambers,63,115,63,5,5,0,10,0.5
Ernest,Chavez,68,145,70,8,2,0,10,0.8
Mark,Cherico,67,145,69,11,1,0,12,0.916666667
Macy,Chiasson,71,135,72,6,1,0,7,0.857142857
Michael,Chiesa,73,170,75,16,4,0,20,0.8
Giga,Chikadze,72,145,74,8,1,1,10,0.85
Dooho,Choi,70,145,70,14,3,0,17,0.823529412
SeungWoo,Choi,72,145,74,7,3,0,10,0.7
John,Cholish,71,155,72,8,3,0,11,0.727272727
Ryo,Chonan,69,170,70,20,12,0,32,0.625
Katlyn,Chookagian,69,125,68,12,2,0,14,0.857142857
Will,Chope,76,145,76,19,6,0,25,0.76
Joachim,Christensen,75,205,76,14,6,0,20,0.7
Anthony,Christodoulou,69,155,72,12,6,0,18,0.666666667
Hannah,Cifers,61,115,62,10,3,0,13,0.769230769
Misha,Cirkunov,75,205,77,15,5,0,20,0.75
Heather Jo,Clark,66,115,64,7,6,0,13,0.538461538
Devin,Clark,72,205,75,10,4,0,14,0.714285714
Jessica-Rose,Clark,65,125,64,9,5,0,14,0.642857143
Mitch,Clarke,70,155,73,11,5,0,16,0.6875
Rich,Clementi,69,155,72,40,20,1,61,0.663934426
Chris,Clements,70,170,70,12,6,0,18,0.666666667
Josh,Clopton,66,145,68,6,2,1,9,0.722222222
Marloes,Coenen,69,145,67,21,5,0,26,0.807692308
John,Cofer,69,155,73,7,4,0,11,0.636363636
Felipe,Colares,68,135,69,9,1,0,10,0.9
Mark,Coleman,73,205,75,16,10,0,26,0.615384615
Clay,Collard,71,145,73,14,7,0,21,0.666666667
Jamie,Colleen,63,115,65,4,1,0,5,0.8
Jake,Collier,75,205,78,11,4,0,15,0.733333333
Christian,Colombo,77,265,80,8,3,1,12,0.708333333
Carlos,Condit,74,170,75,30,13,0,43,0.697674419
Tristan,Connelly,70,170,68,14,6,0,20,0.7
Amanda,Cooper,63,115,64,4,5,0,9,0.444444444
Chris,Cope,72,170,72,5,4,0,9,0.555555556
Josh,Copeland,73,265,75,9,2,0,11,0.818181818
Michael,Cora,73,170,77,4,1,0,5,0.8
Akira,Corassani,68,145,68,14,7,0,21,0.666666667
Daniel,Cormier,71,235,72,22,2,0,24,0.916666667
Bethe,Correia,65,135,64,11,4,1,16,0.71875
Randy,Costa,69,135,73,5,1,0,6,0.833333333
Patrick,Cote,71,170,71,24,11,0,35,0.685714286
JC,Cottrell,69,155,71,17,5,0,22,0.772727273
JR,Coughran,66,145,71,6,1,0,7,0.857142857
Rashad,Coulter,71,205,76,9,4,0,13,0.692307692
Randy,Couture,73,205,75,19,11,0,30,0.633333333
Ryan,Couture,70,155,75,7,3,0,10,0.7
Colby,Covington,71,170,72,15,1,0,16,0.9375
Nathan,Coy,70,170,69,15,7,0,22,0.681818182
Andrew,Craig,73,170,76,9,4,0,13,0.692307692
Paul,Craig,75,205,76,12,4,0,16,0.75
Tim,Credeur,75,185,75,12,4,0,16,0.75
Allen,Crowder,75,245,76,10,4,0,14,0.714285714
Daron,Cruickshank,68,155,72,16,8,0,24,0.666666667
Jimmy,Crute,74,205,74,10,1,0,11,0.909090909
Dominick,Cruz,68,135,68,22,2,0,24,0.916666667
Aalon,Cruz,72,145,78,7,2,0,9,0.777777778
Zak,Cummings,72,185,75,23,7,0,30,0.766666667
Patrick,Cummins,74,205,76,10,7,0,17,0.588235294
Luke,Cummo,72,170,74,6,6,0,12,0.5
Alton,Cunningham,74,205,77,7,1,0,8,0.875
Jeff,Curran,66,135,69,35,15,1,51,0.696078431
Kailin,Curran,64,115,65,4,6,0,10,0.4
Ion,Cutelaba,73,205,75,15,4,0,19,0.789473684
Jussier,Formiga,65,125,67,23,6,0,29,0.793103448
Claudio,Silva,71,170,71,14,1,0,15,0.933333333
Henrique,da Silva,75,205,76,14,5,0,19,0.736842105
Alex,Da Silva,68,155,73,21,2,0,23,0.913043478
Nicolas,Dalby,71,170,74,18,3,1,22,0.840909091
Paul,Daley,69,170,76,31,11,2,44,0.727272727
Aisling,Daly,62,115,64,16,6,0,22,0.727272727
Rodrigo,Damm,67,155,71,12,9,0,21,0.571428571
Cindy,Dandois,67,135,68,8,3,0,11,0.727272727
Jarjis,Danho,75,265,74,6,1,1,8,0.8125
Mac,Danzig,68,155,70,22,12,1,35,0.642857143
Karen,Darabedyan,67,155,68,9,4,0,13,0.692307692
Beneil,Dariush,70,155,72,16,4,1,21,0.785714286
Kyle,Daukaus,75,185,76,6,0,0,6,1
Marcus,Davis,70,170,70,20,9,0,29,0.689655172
LC,Davis,68,135,69,17,4,0,21,0.80952381
Phil,Davis,74,205,79,13,3,0,16,0.8125
Alexis,Davis,66,125,68,19,10,0,29,0.655172414
Brandon,Davis,70,135,72,10,8,0,18,0.555555556
Mike,Davis,72,155,72,8,2,0,10,0.8
Hakeem,Dawodu,68,145,73,10,1,1,12,0.875
Grant,Dawson,70,145,72,14,1,0,15,0.933333333
Jason,Day,72,185,72,19,12,0,31,0.612903226
Martin,Day,70,135,73,8,3,0,11,0.727272727
Yorgan,De Castro,72,250,74,6,0,0,6,1
Geraldo,de Freitas,67,135,72,12,5,0,17,0.705882353
Philip,De Fries,77,250,82,9,3,0,12,0.75
Chris,de la Rocha,75,250,80,5,3,0,8,0.625
Montana,De La Rosa,67,125,68,10,5,0,15,0.666666667
Mark,De La Rosa,66,135,65,11,3,0,14,0.785714286
Mike,de la Torre,71,145,71,14,7,0,21,0.666666667
Rodrigo,de Lima,67,155,75,8,3,1,12,0.708333333
Jorge,de Oliveira,68,155,71,7,2,0,9,0.777777778
Germaine,de Randamie,69,135,71,9,3,0,12,0.75
Tom,DeBlass,72,185,75,7,2,0,9,0.777777778
Shane,del Rosario,76,250,79,11,2,0,13,0.846153846
Rolando,Delgado,75,155,77,11,5,1,17,0.676470588
Roland,Delorme,69,135,71,9,4,0,13,0.692307692
Jon,Delos Reyes,66,125,67,8,5,0,13,0.615384615
Chris,Dempsey,70,185,72,11,4,0,15,0.733333333
Jason,Dent,70,155,71,21,12,0,33,0.636363636
Mackenzie,Dern,64,115,63,7,1,0,8,0.875
Tony,DeSouza,72,170,70,10,4,0,14,0.714285714
Alessio,Di Chirico,72,185,74,12,4,0,16,0.75
Micol,Di Segni,63,115,60,7,2,0,9,0.777777778
Cyrille,Diabate,78,205,81,20,10,3,33,0.651515152
Marc,Diakiese,70,155,73,14,3,0,17,0.823529412
Tyler,Diamond,67,145,69,9,2,0,11,0.818181818
Hacran,Dias,68,155,69,23,6,1,30,0.783333333
Nick,Diaz,73,185,76,26,9,0,35,0.742857143
Nate,Diaz,72,170,76,21,11,0,32,0.65625
Seth,Dikun,70,135,69,7,4,0,11,0.636363636
TJ,Dillashaw,66,125,67,17,4,0,21,0.80952381
Rico,DiSciullo,68,135,71,9,1,0,10,0.9
Russell,Doane,67,135,70,15,8,0,23,0.652173913
Drew,Dober,68,155,70,21,9,0,30,0.7
Shana,Dobson,66,125,69,3,3,0,6,0.5
John,Dodson,63,135,66,21,11,0,32,0.65625
Joe,Doerksen,72,185,75,47,16,0,63,0.746031746
CB,Dollaway,74,185,76,18,10,0,28,0.642857143
Cody,Donovan,75,205,74,8,5,0,13,0.615384615
Rafael,Dos Anjos,68,170,70,29,12,0,41,0.707317073
Junior,Dos Santos,76,238,77,21,6,0,27,0.777777778
Antonio,Dos Santos,70,185,72,6,3,0,9,0.666666667
Anderson,Dos Santos,65,135,70,20,8,0,28,0.714285714
Tiago,Trator,69,145,70,20,6,2,28,0.75
Danny,Downes,72,155,72,8,3,0,11,0.727272727
Tomasz,Drwal,73,205,76,19,4,1,24,0.8125
Robert,Drysdale,75,205,78,6,0,0,6,1
Milana,Dudieva,63,135,61,11,5,0,16,0.6875
Todd,Duffee,75,260,78,9,3,0,12,0.75
Joe,Duffy,70,155,73,16,4,0,20,0.8
Alexis,Dufresne,69,135,68,5,4,0,9,0.555555556
Jessamyn,Duke,71,135,73,3,3,0,6,0.5
Evan,Dunham,70,155,70,18,8,1,27,0.685185185
Tom,Duquesnoy,67,135,68,16,2,0,18,0.888888889
Reuben,Duran,67,135,69,8,5,1,14,0.607142857
Luiz,Dutra,71,170,71,11,4,1,16,0.71875
Rilley,Dutro,68,125,70,14,3,0,17,0.823529412
Merab,Dvalishvili,66,135,68,9,4,0,13,0.692307692
Matt,Dwyer,76,170,76,8,4,0,12,0.666666667
Rolando,Dy,68,145,69,9,7,1,17,0.558823529
Cody,East,75,245,74,12,3,0,15,0.8
Marvin,Eastman,69,185,73,17,14,1,32,0.546875
Mike,Easton,66,135,70,13,5,0,18,0.722222222
Brian,Ebersole,72,170,73,51,17,1,69,0.746376812
Mark,Eddiva,68,145,68,6,3,0,9,0.666666667
Frankie,Edgar,66,145,68,22,7,1,30,0.75
Abdul-Kerim,Edilov,74,205,78,17,4,0,21,0.80952381
Johnny,Eduardo,67,135,71,28,12,0,40,0.7
Yves,Edwards,69,155,73,42,22,1,65,0.653846154
Justin,Edwards,70,155,70,9,5,0,14,0.642857143
Leon,Edwards,74,170,74,18,3,0,21,0.857142857
Te,Edwards,68,155,72,6,3,0,9,0.666666667
Per,Eklund,70,155,72,14,5,1,20,0.725
Darren,Elkins,70,145,71,25,8,0,33,0.757575758
Jake,Ellenberger,69,170,71,31,15,0,46,0.673913043
Joe,Ellenberger,69,155,72,15,2,0,17,0.882352941
