First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage
Tim,Elliott,67,135,66,16,9,1,26,0.634615385
Lisa,Ellis,64,115,62,15,10,0,25,0.6
Anna,Elmose,63,115,65,3,2,0,5,0.6
Ramazan,Emeev,70,170,76,18,3,0,21,0.857142857
Fedor,Emelianenko,72,230,74,34,4,0,38,0.894736842
Rob,Emerson,69,155,70,11,10,0,21,0.523809524
Jamall,Emmers,70,145,74,13,3,0,16,0.8125
Josh,Emmett,66,145,70,15,2,0,17,0.882352941
Oliver,Enkamp,72,170,77,7,2,0,9,0.777777778
Alex,Enlund,70,145,73,14,2,0,16,0.875
Ian,Entwistle,65,135,64,9,3,0,12,0.75
Andy,Enz,75,185,78,8,3,0,11,0.727272727
Konstantin,Erokhin,71,230,73,9,3,0,12,0.75
Julian,Erosa,73,145,74,22,9,0,31,0.709677419
Cole,Escovedo,67,135,72,17,8,0,25,0.68
Efrain,Escudero,69,155,70,25,11,0,36,0.694444444
Carla,Esparza,61,115,63,16,6,0,22,0.727272727
Juan,Espino,76,250,82,10,1,0,11,0.909090909
Jordan,Espinosa,66,125,69,14,6,0,20,0.7
Jodie,Esquibel,61,115,64,6,6,0,12,0.5
Terry,Etim,73,155,73,15,5,0,20,0.75
Sijara,Eubanks,64,135,67,5,4,0,9,0.555555556
Billy,Evangelista,68,155,68,11,2,0,13,0.846153846
Rashad,Evans,72,205,75,24,8,1,33,0.742424242
Ashlee,Evans-Smith,68,125,67,6,4,0,10,0.6
Tonya,Evinger,67,135,70,19,8,0,27,0.703703704
Movsar,Evloev,67,145,72,11,0,0,11,1
Andre,Ewell,68,135,75,15,6,0,21,0.714285714
Jessica,Eye,66,125,66,14,7,0,21,0.666666667
Urijah,Faber,66,135,67,35,10,0,45,0.777777778
Melinda,Fabian,66,125,66,4,4,2,10,0.5
Wagnney,Fabiano,66,145,69,14,3,0,17,0.823529412
Bartosz,Fabinski,72,170,75,14,3,0,17,0.823529412
Zarah,Fairn,68,145,72,6,3,0,9,0.666666667
Rico,Farrington,76,170,79,7,2,0,9,0.777777778
Kelly,Faszholz,68,135,67,3,2,0,5,0.6
Paul,Felder,71,155,70,17,4,0,21,0.80952381
Tony,Ferguson,71,155,76,26,3,0,29,0.896551724
Josh,Ferguson,65,125,66,7,5,0,12,0.583333333
Cezar,Ferreira,73,185,78,14,8,0,22,0.636363636
Diego,Ferreira,69,155,74,16,2,0,18,0.888888889
Drew,Fickett,70,155,70,41,16,0,57,0.719298246
Deiveson,Figueiredo,65,125,68,17,1,0,18,0.944444444
Edwin,Figueroa,67,135,69,9,4,0,13,0.692307692
Andre,Fili,71,145,74,20,6,0,26,0.769230769
Mirko,Cro Cop,74,230,73,31,11,2,44,0.727272727
Luigi,Fioravanti,68,170,70,22,11,0,33,0.666666667
Spencer,Fisher,67,155,70,25,9,0,34,0.735294118
Chris,Fishgold,68,145,68,18,3,1,22,0.840909091
Jon,Fitch,72,170,76,27,5,1,33,0.833333333
Rafael,Fiziev,68,155,71,6,1,0,7,0.857142857
Colin,Fletcher,74,155,78,9,3,0,12,0.75
Kenny,Florian,70,145,74,14,6,0,20,0.7
Caros,Fodor,69,155,76,7,3,0,10,0.7
Rob,Font,68,135,71,16,4,0,20,0.8
Jesse,Forbes,74,185,75,15,5,0,20,0.75
Renee,Forte,67,155,71,8,4,0,12,0.666666667
Marcel,Fortuna,73,205,74,9,3,0,12,0.75
Brian,Foster,69,170,71,18,5,0,23,0.782608696
Hermes,Franca,66,155,71,22,12,0,34,0.647058824
Glaico,Franca,72,155,77,14,5,0,19,0.736842105
John,Franchi,66,145,67,6,2,0,8,0.75
Rich,Franklin,73,185,75,29,7,0,36,0.805555556
Justin,Frazier,72,265,75,11,3,0,14,0.785714286
Matt,Frevola,69,155,71,8,1,1,10,0.85
Sarah,Frota,66,125,69,9,2,0,11,0.818181818
Riki,Fukuda,72,185,73,19,7,0,26,0.730769231
Masio,Fullen,70,145,70,10,6,0,16,0.625
Ricardo,Funch,70,170,76,8,4,0,12,0.666666667
Claudia,Gadelha,64,115,63,17,4,0,21,0.80952381
Justin,Gaethje,71,155,70,21,2,0,23,0.913043478
Sheila,Gaff,65,135,62,10,6,1,17,0.617647059
Mitch,Gagnon,65,135,65,12,5,0,17,0.705882353
Mickey,Gall,74,170,74,6,2,0,8,0.75
Tom,Gallicchio,70,170,73,19,11,0,30,0.633333333
Manvel,Gamburyan,65,135,67,18,11,0,29,0.620689655
Ciryl,Gane,76,245,81,4,0,0,4,1
Eduardo,Garagorri,69,145,70,13,0,0,13,1
Cody,Garbrandt,68,135,65,11,3,0,14,0.785714286
Leonard,Garcia,70,145,69,19,11,1,31,0.629032258
Edgar,Garcia,70,170,71,14,5,0,19,0.736842105
Alex,Garcia,69,170,72,15,6,0,21,0.714285714
Steve,Garcia,72,135,75,9,3,0,12,0.75
Elias,Garcia,65,125,67,6,2,0,8,0.75
Pablo,Garza,73,145,73,13,4,0,17,0.764705882
Azamat,Gashimov,66,125,66,10,3,0,13,0.769230769
Kelvin,Gastelum,69,185,71,16,4,0,20,0.8
Willie,Gates,68,125,70,12,7,0,19,0.631578947
Louis,Gaudinot,63,125,63,6,4,0,10,0.6
Chad,George,66,135,68,13,6,0,19,0.684210526
Karine,Gevorgyan,64,125,63,3,3,0,6,0.5
Christos,Giagos,70,155,71,17,8,0,25,0.68
Joe,Giannetti,72,155,74,7,1,0,8,0.875
Cody,Gibson,70,135,71,12,6,0,18,0.666666667
Thomas,Gifford,73,155,75,17,9,0,26,0.653846154
Joe,Gigliotti,71,185,69,7,2,0,9,0.777777778
Trevin,Giles,72,185,74,11,2,0,13,0.846153846
Gregor,Gillespie,67,155,71,13,0,0,13,1
Alex,Gilpin,67,145,72,11,1,0,12,0.916666667
Rick,Glenn,72,145,70,21,6,1,28,0.767857143
Mark,Godbeer,76,240,77,13,4,0,17,0.764705882
Hannah,Goldy,64,125,61,5,1,0,6,0.833333333
Marcelo,Golm,75,249,75,6,3,0,9,0.666666667
Frank,Gomez,70,135,67,10,4,0,14,0.714285714
Ulysses,Gomez,66,125,66,9,4,0,13,0.692307692
Joey,Gomez,70,155,71,7,1,0,8,0.875
Luis,Gomez,67,145,68,4,1,0,5,0.8
Takanori,Gomi,67,155,70,35,14,0,49,0.714285714
Akihiro,Gono,67,170,68,32,16,7,55,0.645454545
Gabriel,Gonzaga,74,242,76,17,11,0,28,0.607142857
Justin,Gonzales,69,145,72,9,0,0,9,1
Fernando,Gonzalez,69,170,68,19,11,0,30,0.633333333
Lewis,Gonzalez,70,170,73,10,2,0,12,0.833333333
Jason,Gonzalez,74,155,74,11,5,0,16,0.6875
Pearl,Gonzalez,64,115,68,6,3,0,9,0.666666667
Lyman,Good,72,170,74,20,5,0,25,0.8
Eddie,Gordon,72,185,76,8,4,0,12,0.666666667
Jared,Gordon,69,155,68,15,3,0,18,0.833333333
Tebaris,Gordon,73,265,78,3,1,0,4,0.75
Alex,Gorgees,74,155,74,7,1,0,8,0.875
Tim,Gorman,65,135,68,9,4,0,13,0.692307692
Jonathan,Goulet,72,170,73,23,12,0,35,0.657142857
Thibault,Gouti,70,155,72,12,5,0,17,0.705882353
Wilson,Gouveia,73,185,76,12,8,0,20,0.6
Damian,Grabowski,73,241,75,20,5,0,25,0.8
Roger,Gracie,76,185,79,6,2,0,8,0.75
Kron,Gracie,69,145,70,5,1,0,6,0.833333333
Miranda,Granger,67,125,68,7,0,0,7,1
TJ,Grant,70,155,72,21,5,0,26,0.807692308
Davey,Grant,68,135,69,10,4,0,14,0.714285714
Dwight,Grant,73,170,76,10,2,0,12,0.833333333
Alexa,Grasso,65,115,66,11,3,0,14,0.785714286
Michael,Graves,70,170,71,6,0,1,7,0.928571429
Shelton,Graves,74,255,76,7,3,0,10,0.7
Kevin,Gray,64,125,67,9,4,0,13,0.692307692
Bobby,Green,70,155,71,24,9,1,34,0.720588235
Desmond,Green,70,155,73,23,8,0,31,0.741935484
Maurice,Greene,79,258,80,8,3,0,11,0.727272727
Matt,Grice,68,145,70,15,5,0,20,0.75
Forrest,Griffin,75,205,77,19,7,0,26,0.730769231
Tyson,Griffin,66,145,68,15,6,0,21,0.714285714
Max,Griffin,71,170,76,15,7,0,22,0.681818182
Jordan,Griffin,70,145,73,17,7,0,24,0.708333333
Chad,Griggs,73,205,73,11,3,0,14,0.785714286
Josh,Grispi,71,145,74,14,5,0,19,0.736842105
Garrett,Gross,69,155,69,11,6,0,17,0.647058824
Kendall,Grove,78,185,79,13,10,0,23,0.565217391
Chris,Gruetzemacher,68,155,68,14,3,0,17,0.823529412
Vik,Grujic,71,170,73,7,6,0,13,0.538461538
Mike,Grundy,67,145,72,12,1,0,13,0.923076923
Wang,Guan,69,145,71,20,1,1,22,0.931818182
Nandor,Guelmino,75,230,76,11,5,1,17,0.676470588
Shannon,Gugerty,70,155,71,14,6,0,20,0.7
Clay,Guida,67,155,70,35,16,0,51,0.68627451
Melvin,Guillard,69,155,68,48,15,3,66,0.75
Marcelo,Guimaraes,72,185,73,9,2,1,12,0.791666667
Leonardo,Augusto Leleco,72,185,73,11,3,0,14,0.785714286
John,Gunderson,69,155,69,32,12,2,46,0.717391304
John,Gunther,69,155,72,7,2,0,9,0.777777778
Jorge,Gurgel,67,155,69,14,9,0,23,0.608695652
Alexander,Gustafsson,77,205,79,18,6,0,24,0.75
Horacio,Gutierrez,70,145,69,3,3,0,6,0.5
Chris,Gutierrez,69,135,67,14,3,0,17,0.823529412
Mike,Guymon,72,170,74,12,5,1,18,0.694444444
Damir,Hadzovic,69,155,70,13,5,0,18,0.722222222
Tim,Hague,76,260,76,13,5,0,18,0.722222222
Yazan,Hajeh,69,145,73,6,1,0,7,0.857142857
Uriah,Hall,72,185,79,16,9,0,25,0.64
Ryan,Hall,70,145,70,8,1,0,9,0.888888889
Dennis,Hallman,69,155,72,67,14,2,83,0.819277108
Piotr,Hallmann,69,155,71,15,5,0,20,0.75
Seohee,Ham,62,115,62,16,8,0,24,0.666666667
Matt,Hamill,73,205,76,12,5,0,17,0.705882353
Anthony,Hamilton,77,260,76,15,9,0,24,0.625
CJ,Hamilton,67,125,68,11,4,0,15,0.733333333
Jared,Hamman,75,185,75,13,6,0,19,0.684210526
Nasrat,Haqparast,70,155,72,11,2,0,13,0.846153846
Antoni,Hardonk,76,245,78,8,6,0,14,0.571428571
Dan,Hardy,72,170,74,25,10,0,35,0.714285714
Greg,Hardy,77,265,80,5,1,0,6,0.833333333
Gerald,Harris,71,185,77,19,4,0,23,0.826086957
Phil,Harris,64,125,64,22,12,0,34,0.647058824
Walt,Harris,77,250,77,13,7,0,20,0.65
Collin,Hart,73,185,76,4,2,1,7,0.642857143
Dale,Hartt,70,155,69,6,3,0,9,0.666666667
Clay,Harvison,73,170,74,9,3,0,12,0.75
Hayder,Hassan,70,170,70,6,3,0,9,0.666666667
John,Hathaway,73,170,75,17,2,0,19,0.894736842
Phil,Hawes,73,185,70,4,1,0,5,0.8
Tommy,Hayden,69,145,72,8,2,0,10,0.8
Dustin,Hazelett,73,170,76,12,7,0,19,0.631578947
James,Head,73,170,73,9,4,0,13,0.692307692
Pat,Healy,72,155,74,31,19,0,50,0.62
David,Heath,71,205,72,16,7,0,23,0.695652174
Chris,Heatherly,69,155,68,9,3,0,12,0.75
Jake,Hecht,72,170,76,11,4,0,15,0.733333333
Nick,Hein,66,155,66,14,5,0,19,0.736842105
Ian,Heinisch,71,185,72,13,2,0,15,0.866666667
Marcin,Held,69,155,71,23,7,0,30,0.766666667
Dan,Henderson,71,185,74,32,15,0,47,0.680851064
Benson,Henderson,69,170,70,23,5,0,28,0.821428571
Johny,Hendricks,69,185,69,18,8,0,26,0.692307692
Luis,Henrique,74,243,74,10,5,0,15,0.666666667
Paulo,Costa,73,185,72,13,0,0,13,1
Danny,Henry,72,145,73,12,3,0,15,0.8
Ed,Herman,73,205,77,25,14,0,39,0.641025641
Dave,Herman,76,242,76,21,6,0,27,0.777777778
Jack,Hermansson,73,185,77,20,5,0,25,0.8
Junior,Hernandez,69,135,69,14,6,0,20,0.7
Alexander,Hernandez,69,155,72,11,2,0,13,0.846153846
Anthony,Hernandez,72,185,75,8,1,0,9,0.888888889
Nohelin,Hernandez,70,135,71,10,4,0,14,0.714285714
Geane,Herrera,65,125,66,9,3,0,12,0.75
Alvaro,Herrera,72,155,74,9,6,0,15,0.6
Felice,Herrig,64,115,65,14,8,0,22,0.636363636
Heath,Herring,76,250,78,28,14,0,42,0.666666667
Clint,Hester,74,205,77,11,6,0,17,0.647058824
Jimy,Hettes,69,145,71,11,3,0,14,0.785714286
Marcus,Hicks,66,155,64,9,3,0,12,0.75
Jay,Hieron,72,170,75,23,7,0,30,0.766666667
Jason,High,68,155,71,19,5,0,24,0.791666667
Corey,Hill,76,155,80,4,4,0,8,0.5
Angela,Hill,63,115,64,10,7,0,17,0.588235294
Tyler,Hill,75,170,78,8,1,0,9,0.888888889
Jamahal,Hill,76,205,79,5,0,0,5,1
Kailan,Hill,73,185,77,4,1,0,5,0.8
Hatsu,Hioki,71,145,70,27,9,2,38,0.736842105
Kuniyoshi,Hironaka,70,168,70,19,8,0,27,0.703703704
Mizuto,Hirota,67,155,67,19,10,2,31,0.64516129
Kwan,Ho Kwak,65,135,70,9,2,0,11,0.818181818
Matt,Hobar,70,135,70,9,3,0,12,0.75
Andrew,Holbrook,71,155,70,12,3,0,15,0.8
Chris,Holdsworth,71,135,71,7,0,0,7,1
Kevin,Holland,75,185,81,16,5,0,21,0.761904762
Roger,Hollett,71,205,70,13,5,0,18,0.722222222
Max,Holloway,71,145,69,21,4,0,25,0.84
Holly,Holm,68,135,69,12,5,0,17,0.705882353
Kurt,Holobaugh,71,155,70,17,7,0,24,0.708333333
Paddy,Holohan,70,125,69,12,2,1,15,0.833333333
Scott,Holtzman,69,155,69,13,3,0,16,0.8125
Sabah,Homasi,72,170,72,11,8,0,19,0.578947368
Mark,Hominick,68,145,68,20,12,0,32,0.625
Barb,Honchak,64,125,65,10,5,0,15,0.666666667
Dan,Hooker,72,155,75,20,8,0,28,0.714285714
Darrell,Horcher,70,155,70,13,4,0,17,0.764705882
Yoshinori,Horie,68,145,70,8,2,0,10,0.8
Kyoji,Horiguchi,65,125,66,18,2,0,20,0.9
Jeremy,Horn,73,185,74,88,21,5,114,0.793859649
Chris,Horodecki,69,155,69,18,3,1,22,0.840909091
Jeff,Hougland,67,135,68,10,6,0,16,0.625
Brian,Houston,74,185,78,4,2,0,6,0.666666667
John,Howard,67,170,71,23,12,0,35,0.657142857
Shane,Howell,68,125,69,13,9,0,22,0.590909091
Carlos,Huachin,64,135,67,10,5,1,16,0.65625
Austin,Hubbard,70,155,71,11,3,0,14,0.785714286
Roger,Huerta,69,155,70,21,5,1,27,0.796296296
Matt,Hughes,69,170,73,45,9,0,54,0.833333333
Jeff,Hughes,74,250,77,10,2,0,12,0.833333333
Mark,Hunt,70,265,72,13,14,1,28,0.482142857
Adam,Hunter,73,185,73,7,1,0,8,0.875
Al,Iaquinta,70,155,70,14,6,1,21,0.69047619
Khadis,Ibragimov,75,205,78,8,1,0,9,0.888888889
Dan,Ige,67,145,71,12,2,0,14,0.857142857
Zelim,Imadaev,72,170,76,8,1,0,9,0.888888889
Chris,Indich,70,170,73,5,3,0,8,0.625
Guto,Inocente,75,205,77,6,4,0,10,0.6
Naoki,Inoue,69,125,71,11,1,0,12,0.916666667
Mizuki,Inoue,63,125,65,14,5,0,19,0.736842105
James,Irvin,74,205,75,15,9,0,24,0.625
Yves,Jabouin,67,135,68,20,11,0,31,0.64516129
Rampage,Jackson,73,205,73,36,11,0,47,0.765957447
Damon,Jackson,71,145,71,9,1,1,11,0.863636364
Jason,Jackson,73,170,78,7,2,0,9,0.777777778
Montel,Jackson,70,135,75,8,1,0,9,0.888888889
Dustin,Jacoby,76,185,78,6,3,0,9,0.666666667
Virna,Jandiroba,63,115,64,14,1,0,15,0.933333333
Ryan,Janes,75,185,76,10,3,0,13,0.769230769
Josh,Janousek,71,185,73,8,1,0,9,0.888888889
Dave,Jansen,69,155,73,15,3,0,18,0.833333333
Keith,Jardine,74,185,76,17,10,2,29,0.620689655
Brock,Jardine,71,170,73,9,3,0,12,0.75
Rony,Jason,67,145,70,15,7,0,22,0.681818182
Joanna,Jedrzejczyk,66,125,65,16,3,0,19,0.842105263
Aaron,Jeffery,74,185,74,6,1,0,7,0.857142857
Ryan,Jensen,73,185,76,15,8,0,23,0.652173913
Chanmi,Jeon,65,115,67,5,2,0,7,0.714285714
Ryan,Jimmo,73,205,73,19,5,0,24,0.791666667
Sung Bin,Jo,72,145,72,9,1,0,10,0.9
Carls,John De Tomas,65,125,71,8,2,0,10,0.8
Brett,Johns,67,135,71,15,2,0,17,0.882352941
Miles,Johns,67,135,66,10,0,0,10,1
Anthony,Johnson,74,205,78,22,6,0,28,0.785714286
DaMarques,Johnson,73,170,75,18,12,0,30,0.6
Tony,Johnson,74,205,76,7,2,0,9,0.777777778
Lavar,Johnson,76,240,82,17,7,0,24,0.708333333
Demetrious,Johnson,63,125,66,27,3,1,31,0.887096774
Michael,Johnson,70,155,73,20,14,0,34,0.588235294
Kajan,Johnson,71,155,75,23,14,1,38,0.618421053
Dashon,Johnson,67,145,70,9,2,0,11,0.818181818
Tim,Johnson,75,265,77,12,4,0,16,0.75
Jordan,Johnson,74,205,79,10,0,0,10,1
Taylor,Johnson,72,185,74,5,1,0,6,0.833333333
Liana,Jojua,64,135,62,7,3,0,10,0.7
Daniel,Jolly,73,205,75,5,2,0,7,0.714285714
Jon,Jones,76,205,84,25,1,0,26,0.961538462
Justin,Jones,71,185,78,9,2,0,11,0.818181818
Jamelle,Jones,72,205,75,7,5,0,12,0.583333333
Jocelyn,Jones-Lybarger,67,115,64,6,4,0,10,0.6
Shawn,Jordan,72,260,75,18,7,0,25,0.72
Ivan,Jorge,69,155,73,26,5,0,31,0.838709677
Scott,Jorgensen,65,135,66,15,12,0,27,0.555555556
Krzysztof,Jotko,73,185,77,21,4,0,25,0.84
Alan,Jouban,72,170,73,16,7,0,23,0.695652174
Charles,Jourdain,69,155,69,9,2,0,11,0.818181818
Dustin,Joynson,78,244,78,5,0,0,5,1
Luke,Jumeau,71,170,72,13,5,0,18,0.722222222
Chan Sung,Jung,67,145,72,15,5,0,20,0.75
Da Un,Jung,76,205,78,12,2,0,14,0.857142857
Myles,Jury,70,145,73,17,4,0,21,0.80952381
Cris,Cyborg,68,145,68,21,2,0,23,0.913043478
Emily,Peters Kagan,63,115,66,3,3,0,6,0.5
Sirwan,Kakai,65,135,66,12,3,0,15,0.8
Martin,Kampmann,72,170,72,20,7,0,27,0.740740741
Bharat,Kandare,67,135,72,5,3,0,8,0.625
Masanori,Kanehara,67,135,67,25,13,5,43,0.639534884
Denis,Kang,71,185,77,34,15,2,51,0.68627451
Kyung Ho,Kang,69,135,73,16,8,0,24,0.666666667
Kai,Kara-France,64,125,69,20,7,0,27,0.740740741
Alex,Karalexis,68,155,66,10,6,0,16,0.625
Impa,Kasanganay,71,185,75,5,0,0,5,1
Nadia,Kassem,65,125,66,5,2,0,7,0.714285714
Yusuke,Kasuya,67,155,67,9,3,2,14,0.714285714
Brad,Katona,66,135,64,9,2,0,11,0.818181818
Calvin,Kattar,71,145,72,20,3,0,23,0.869565217
Sarah,Kaufman,65,135,67,17,4,0,21,0.80952381
Tatsuya,Kawajiri,67,145,69,35,10,2,47,0.765957447
Julie,Kedzie,65,135,64,16,13,0,29,0.551724138
Chris,Kelades,67,125,68,9,3,0,12,0.75
Brian,Kelleher,66,135,66,19,10,0,29,0.655172414
Paul,Kelly,69,155,70,12,4,0,16,0.75
Daniel,Kelly,72,185,70,13,4,0,17,0.764705882
Tim,Kennedy,71,185,74,18,6,0,24,0.75
Steve,Kennedy,71,170,71,22,8,0,30,0.733333333
Jeremy,Kennedy,71,145,71,11,1,0,12,0.916666667
Casey,Kenney,67,135,68,13,1,1,15,0.9
Will,Kerr,70,155,69,9,3,0,12,0.75
Rustam,Khabilov,68,155,73,23,4,0,27,0.851851852
Sergey,Khandozhko,73,170,74,27,5,1,33,0.833333333
Alfred,Khashakyan,68,135,70,8,3,0,11,0.727272727
Pannie,Kianzad,67,135,66,12,5,0,17,0.705882353
Katsunori,Kikuno,68,145,66,23,8,2,33,0.727272727
Jacob,Kilburn,69,145,71,6,1,0,7,0.857142857
Dong Hyun,Kim,74,170,76,22,4,1,27,0.833333333
Ji Yeon,Kim,67,125,72,9,2,2,13,0.769230769
Jeremy,Kimball,72,205,72,15,8,0,23,0.652173913
Rob,Kimmons,70,185,73,24,8,0,32,0.75
Dustin,Kimura,67,135,71,12,3,0,15,0.8
Mike,King,75,185,75,5,1,0,6,0.833333333
Kyle,Kingsbury,76,205,76,11,6,0,17,0.647058824
Kamuela,Kirk,70,145,75,9,2,0,11,0.818181818
Justine,Kish,65,125,64,6,2,0,8,0.75
Drakkar,Klose,69,155,70,11,1,1,13,0.884615385
Jason,Knight,70,145,71,20,6,0,26,0.769230769
Erik,Koch,70,170,71,16,6,0,22,0.727272727
Syuri,Kondo,64,115,66,6,3,0,9,0.666666667
Cheick,Kongo,76,240,82,29,9,2,40,0.75
Josh,Koscheck,70,170,73,19,10,0,29,0.655172414
Naoyuki,Kotani,68,155,66,33,13,7,53,0.688679245
Karolina,Kowalkiewicz,63,115,64,13,5,0,18,0.722222222
Derrick,Krantz,70,170,72,24,12,0,36,0.666666667
James,Krause,74,170,73,25,8,0,33,0.757575758
Pascal,Krauss,73,170,72,11,2,0,13,0.846153846
Nikita,Krylov,75,205,77,26,7,0,33,0.787878788
Michael,Kuiper,72,185,73,12,3,0,15,0.8
Anton,Kuivanen,68,155,72,17,6,0,23,0.739130435
Aleksei,Kunchenko,68,170,70,20,1,0,21,0.952380952
Kiichi,Kunimoto,70,170,71,18,7,2,27,0.703703704
Yana,Kunitskaya,66,135,68,12,4,0,16,0.75
Leo,Kuntz,70,155,74,17,3,1,21,0.833333333
Mike,Kyle,76,205,77,19,9,1,29,0.672413793
Aspen,Ladd,66,135,66,8,1,0,9,0.888888889
Ryan,LaFlare,73,170,74,14,3,0,17,0.823529412
Noad,Lahat,69,145,69,9,2,0,11,0.818181818
Tina,Lahdemaki,62,115,62,5,1,0,6,0.833333333
Sean,Lally,72,170,74,8,2,0,10,0.8
Ricardo,Lamas,68,145,71,19,8,0,27,0.703703704
Jason,Lambert,75,185,75,25,12,0,37,0.675675676
Austen,Lane,78,245,80,4,1,0,5,0.8
Lina,Lansberg,67,135,65,10,4,0,14,0.714285714
Taylor,Lapilus,66,135,73,11,2,0,13,0.846153846
Chad,Laprise,70,170,71,14,4,0,18,0.777777778
Anthony,Lapsley,69,170,71,25,7,0,32,0.78125
Lorenz,Larkin,71,170,72,18,5,0,23,0.782608696
Jeremy,Larsen,70,145,70,8,5,0,13,0.615384615
Brock,Larson,71,170,71,33,6,0,39,0.846153846
Bobby,Lashley,75,255,78,7,1,0,8,0.875
Ilir,Latifi,70,205,73,15,7,0,22,0.681818182
Jenel,Lausa,65,125,68,7,5,0,12,0.583333333
Joe,Lauzon,70,155,71,28,16,0,44,0.636363636
Muhammed,Lawal,72,205,78,9,1,0,10,0.9
Robbie,Lawler,71,170,74,28,14,0,42,0.666666667
Tom,Lawlor,72,205,74,10,6,0,16,0.625
Justin,Lawrence,68,145,67,5,2,0,7,0.714285714
Lance,Lawrence,73,145,74,5,1,0,6,0.833333333
Valmir,Lazaro,72,155,73,13,4,0,17,0.764705882
Cung,Le,69,185,69,9,3,0,12,0.75
Thanh,Le,69,145,74,6,1,0,7,0.857142857
Chris,Leben,71,185,74,22,11,0,33,0.666666667
Mickael,Lebout,71,155,73,14,5,1,20,0.725
Justin,Ledet,76,205,80,9,2,0,11,0.818181818
Vaughan,Lee,66,125,66,14,11,1,26,0.557692308
Kevin,Lee,69,170,77,17,5,0,22,0.772727273
Rocky,Lee,69,145,68,3,2,0,5,0.6
Andrea,Lee,66,125,69,11,3,0,14,0.785714286
Cheyden,Leialoha,68,135,73,6,0,0,6,1
Thales,Leites,73,185,78,28,9,0,37,0.756756757
Amanda,Lemos,64,135,65,6,1,1,8,0.8125
Giacomo,Lemos,75,247,75,6,0,0,6,1
Jesse,Lennox,69,170,72,15,3,0,18,0.833333333
